snippet_slug	keyword
local-vs-global-scope	scope
local-vs-global-scope	shadowing
loop-templates	for
loop-templates	inclusive
loop-templates	previous
loop-templates	range
loop-templates	while
mcq-elimination-checklist	does not work
mcq-elimination-checklist	elimination
mcq-elimination-checklist	mcq
mcq-elimination-checklist	strategy
mcq-elimination-checklist	traps
mcq-elimination-checklist	works
membership-and-condition-logic	and
membership-and-condition-logic	conditions
membership-and-condition-logic	in
membership-and-condition-logic	membership
membership-and-condition-logic	not in
membership-and-condition-logic	or
mutation-vs-return	append
mutation-vs-return	immutable
mutation-vs-return	mutation
mutation-vs-return	replace
mutation-vs-return	returns none
mutation-vs-return	shuffle
mutation-vs-return	sort
nested-indexing-and-negative-indices	indexing
nested-indexing-and-negative-indices	negative index
nested-indexing-and-negative-indices	nested lists
nested-indexing-and-negative-indices	tuples
oop-compare-and-report-patterns	average score
oop-compare-and-report-patterns	compare objects
oop-compare-and-report-patterns	overview
oop-compare-and-report-patterns	report string
oop-init-self-defaults	__init__
oop-init-self-defaults	default attribute
oop-init-self-defaults	instance attribute
oop-init-self-defaults	self
oop-method-calls-and-self	instance method
oop-method-calls-and-self	method call
oop-method-calls-and-self	self
oop-state-and-collection-attributes	append
oop-state-and-collection-attributes	garage
oop-state-and-collection-attributes	list attribute
oop-state-and-collection-attributes	reviews
oop-state-and-collection-attributes	state
pandas-boolean-mask-and-indexing	and
pandas-boolean-mask-and-indexing	boolean mask
pandas-boolean-mask-and-indexing	filter rows
pandas-boolean-mask-and-indexing	or
pandas-build-from-args	*args
pandas-build-from-args	DataFrame constructor
pandas-build-from-args	lists as columns
pandas-loc-iloc	iloc
pandas-loc-iloc	labels
pandas-loc-iloc	loc
pandas-loc-iloc	positions
pandas-map-vs-apply	apply
pandas-map-vs-apply	axis=1
pandas-map-vs-apply	map
pandas-map-vs-apply	rowwise
pandas-series-vs-dataframe	DataFrame
pandas-series-vs-dataframe	Series
pandas-series-vs-dataframe	shape
pandas-series-vs-dataframe	single column
pandas-sort-index-vs-values	ascending
pandas-sort-index-vs-values	sort_index
pandas-sort-index-vs-values	sort_values
pandas-string-and-date-columns	date column
pandas-string-and-date-columns	map
pandas-string-and-date-columns	pandas strings
pandas-string-and-date-columns	replace
pandas-vectorized-new-columns	column arithmetic
pandas-vectorized-new-columns	new column
pandas-vectorized-new-columns	vectorized
return-none-and-function-end	None
return-none-and-function-end	append
return-none-and-function-end	function end
return-none-and-function-end	return
set-vs-list-vs-dict	duplicates
set-vs-list-vs-dict	membership
set-vs-list-vs-dict	set
set-vs-list-vs-dict	sorting
slicing-patterns	chunking
slicing-patterns	every third
slicing-patterns	reverse
slicing-patterns	slice
slicing-patterns	start stop step
split-join-replace	join
split-join-replace	replace
split-join-replace	split
split-join-replace	strings
targeted-string-edit-patterns	anagram
targeted-string-edit-patterns	replace count
targeted-string-edit-patterns	second occurrence
targeted-string-edit-patterns	swap
types-none-bool-equality	None
types-none-bool-equality	bool
types-none-bool-equality	comparison
types-none-bool-equality	equality
types-none-bool-equality	truthiness
types-none-bool-equality	type
url-email-phone-parsing	email
url-email-phone-parsing	parse
url-email-phone-parsing	phone
url-email-phone-parsing	split
url-email-phone-parsing	url
zip-enumerate-core	enumerate
zip-enumerate-core	index value
zip-enumerate-core	pairing
zip-enumerate-core	zip
