question_id	snippet_slug	rank
introduction-to-python-trial-final-exam-solutions-py22-q19	pandas-map-vs-apply	1
introduction-to-python-trial-final-exam-solutions-py22-q20	pandas-sort-index-vs-values	1
introduction-to-python-trial-final-exam-solutions-py22-q21	datetime-build-from-parts	1
introduction-to-python-trial-final-exam-solutions-py22-q22	datetime-build-from-parts	1
introduction-to-python-trial-final-exam-solutions-py22-q24	types-none-bool-equality	1
resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q01	types-none-bool-equality	1
resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q02	return-none-and-function-end	1
resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q03	types-none-bool-equality	1
resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q04	loop-templates	1
resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q05	slicing-patterns	1
resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q05	builtins-return-values	2
resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q09	dict-iteration-equality	1
resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q10	list-comprehension-patterns	1
resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q11	zip-enumerate-core	1
resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q13	find-index-count	1
resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q14	split-join-replace	1
resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q15	url-email-phone-parsing	1
resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q17	datetime-strptime-strftime	1
resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q18	pandas-series-vs-dataframe	1
resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q19	oop-init-self-defaults	1
resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q20	oop-state-and-collection-attributes	1
resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q21	datetime-strptime-strftime	1
resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q22	datetime-build-from-parts	1
resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q23	pandas-vectorized-new-columns	1
resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q24	pandas-vectorized-new-columns	1
resit-solutions-for-introduction-to-python-35761538-q01	types-none-bool-equality	1
resit-solutions-for-introduction-to-python-35761538-q02	return-none-and-function-end	1
resit-solutions-for-introduction-to-python-35761538-q03	types-none-bool-equality	1
resit-solutions-for-introduction-to-python-35761538-q04	loop-templates	1
resit-solutions-for-introduction-to-python-35761538-q05	slicing-patterns	1
resit-solutions-for-introduction-to-python-35761538-q05	builtins-return-values	2
resit-solutions-for-introduction-to-python-35761538-q09	dict-iteration-equality	1
resit-solutions-for-introduction-to-python-35761538-q10	list-comprehension-patterns	1
resit-solutions-for-introduction-to-python-35761538-q11	zip-enumerate-core	1
resit-solutions-for-introduction-to-python-35761538-q13	find-index-count	1
resit-solutions-for-introduction-to-python-35761538-q14	split-join-replace	1
resit-solutions-for-introduction-to-python-35761538-q15	url-email-phone-parsing	1
resit-solutions-for-introduction-to-python-35761538-q17	datetime-strptime-strftime	1
resit-solutions-for-introduction-to-python-35761538-q18	pandas-series-vs-dataframe	1
resit-solutions-for-introduction-to-python-35761538-q19	oop-init-self-defaults	1
resit-solutions-for-introduction-to-python-35761538-q20	oop-state-and-collection-attributes	1
resit-solutions-for-introduction-to-python-35761538-q21	datetime-strptime-strftime	1
resit-solutions-for-introduction-to-python-35761538-q22	datetime-build-from-parts	1
resit-solutions-for-introduction-to-python-35761538-q23	pandas-vectorized-new-columns	1
resit-solutions-for-introduction-to-python-35761538-q24	pandas-vectorized-new-columns	1
sample-final-plus-answers-q01	defaults-keyword-arguments	1
sample-final-plus-answers-q02	oop-compare-and-report-patterns	1
sample-final-plus-answers-q03	zip-enumerate-core	1
sample-final-plus-answers-q04	mutation-vs-return	1
sample-final-plus-answers-q04	url-email-phone-parsing	2
sample-final-plus-answers-q05	pandas-series-vs-dataframe	1
sample-final-plus-answers-q06	pandas-loc-iloc	1
sample-final-plus-answers-q12	case-and-capitalization	1
sample-final-plus-answers-q17	membership-and-condition-logic	1
sample-final-plus-answers-q18	list-selection-and-aggregation	1
sample-final-plus-answers-q19	dict-build-count-aggregate	1
sample-final-plus-answers-q20	zip-enumerate-core	1
sample-final-plus-answers-q23	args-and-kwargs	1
trial-final-exam-solutions-introduction-to-python-3077951-q01	defaults-keyword-arguments	1
trial-final-exam-solutions-introduction-to-python-3077951-q02	oop-compare-and-report-patterns	1
trial-final-exam-solutions-introduction-to-python-3077951-q03	zip-enumerate-core	1
trial-final-exam-solutions-introduction-to-python-3077951-q04	mutation-vs-return	1
trial-final-exam-solutions-introduction-to-python-3077951-q04	url-email-phone-parsing	2
trial-final-exam-solutions-introduction-to-python-3077951-q05	pandas-series-vs-dataframe	1
trial-final-exam-solutions-introduction-to-python-3077951-q06	pandas-loc-iloc	1
trial-final-exam-solutions-introduction-to-python-3077951-q12	case-and-capitalization	1
trial-final-exam-solutions-introduction-to-python-3077951-q17	membership-and-condition-logic	1
trial-final-exam-solutions-introduction-to-python-3077951-q18	list-selection-and-aggregation	1
trial-final-exam-solutions-introduction-to-python-3077951-q19	dict-build-count-aggregate	1
trial-final-exam-solutions-introduction-to-python-3077951-q20	zip-enumerate-core	1
trial-final-exam-solutions-introduction-to-python-3077951-q23	args-and-kwargs	1
