snippet_slug	sort_order	topic_slug	subtopic_slug	title	summary	why	default_priority	difficulty	course_phase	recurrence_level	exam_family_count	question_ref_count	piece_count	readme_path	content_dir	default_piece_count	default_char_count	total_char_count	trap_count	keyword_count	ui_section_slug	ui_section_title	ui_section_sort_order	ui_card_order	is_trap_heavy
datetime-strptime-strftime	1	datetime	parsing-formatting	strptime() and strftime()	The parse/format split, plus the directive patterns that recur throughout the exams.	Datetime questions often look harder than they are; most boil down to one directive string and knowing whether you are parsing or formatting.	5	mixed	post-midterm	signature	5	12	3	content/datetime/parsing-formatting/datetime-strptime-strftime/README.md	content/datetime/parsing-formatting/datetime-strptime-strftime	2	372	628	2	4	start-here	Start here	1	1	0
datetime-build-from-parts	2	datetime	parsing-formatting	Build datetimes from parts	Build a full datetime from separate date parts, or from a date string plus a time string.	This shows up in both OOP and pandas questions where day/month/year or hour/minute arrive separately.	4	mixed	post-midterm	very-common	4	6	3	content/datetime/parsing-formatting/datetime-build-from-parts/README.md	content/datetime/parsing-formatting/datetime-build-from-parts	2	343	564	2	3	start-here	Start here	1	2	0
datetime-sequence-generation	1	datetime	sequence-generation	Date sequences	How to generate weekly date series, keep them computable, and only format them at the end.	The bank uses both list-based and DataFrame-based weekly-date generation tasks.	4	mixed	post-midterm	common	3	4	3	content/datetime/sequence-generation/datetime-sequence-generation/README.md	content/datetime/sequence-generation/datetime-sequence-generation	3	718	718	2	4	add-next	Add next	2	1	0
dict-comprehension-patterns	1	dicts-and-comprehensions	comprehensions	Dictionary comprehension patterns	Short templates for building dictionaries with comprehensions, plus the few transformations that recur in the bank.	This is one of the most repeated patterns across the exams.	5	beginner	post-midterm	signature	5	10	3	content/dicts-and-comprehensions/comprehensions/dict-comprehension-patterns/README.md	content/dicts-and-comprehensions/comprehensions/dict-comprehension-patterns	2	398	589	2	4	start-here	Start here	1	1	0
list-comprehension-patterns	2	dicts-and-comprehensions	comprehensions	List comprehension patterns	The two list-comprehension forms you actually need: filter-only and map-with-conditional-expression.	These appear repeatedly and are easy to compress into one mental template.	5	beginner	post-midterm	signature	5	7	3	content/dicts-and-comprehensions/comprehensions/list-comprehension-patterns/README.md	content/dicts-and-comprehensions/comprehensions/list-comprehension-patterns	2	316	501	1	3	start-here	Start here	1	2	0
set-vs-list-vs-dict	3	dicts-and-comprehensions	comprehensions	Set vs list vs dict	When to use a set, and how set behavior differs from lists and dicts in the kinds of MCQs this course uses.	A few deceptively simple options rely on knowing that sets remove duplicates and that dict membership checks keys, not values.	3	beginner	post-midterm	rare	1	2	2	content/dicts-and-comprehensions/comprehensions/set-vs-list-vs-dict/README.md	content/dicts-and-comprehensions/comprehensions/set-vs-list-vs-dict	1	255	414	2	4	edge-cases	Edge cases / niche	3	1	0
dict-build-count-aggregate	1	dicts-and-comprehensions	dicts	Build, count, and aggregate dictionaries	How to build dictionaries from lists, count frequencies, and aggregate values from a dictionary.	Dictionary construction and counting are a core pre-midterm pattern that still shows up in finals and resits.	5	beginner	pre-midterm	very-common	4	11	3	content/dicts-and-comprehensions/dicts/dict-build-count-aggregate/README.md	content/dicts-and-comprehensions/dicts/dict-build-count-aggregate	2	404	736	2	5	start-here	Start here	1	1	0
dict-iteration-equality	2	dicts-and-comprehensions	dicts	Dictionary iteration and equality	The dict facts that exam setters love: equality ignores order, direct iteration yields keys, and `.values()` / `.items()` matter.	This is one of the most repeated distractor families in the bank.	5	beginner	pre-midterm	very-common	4	9	3	content/dicts-and-comprehensions/dicts/dict-iteration-equality/README.md	content/dicts-and-comprehensions/dicts/dict-iteration-equality	2	343	510	2	4	start-here	Start here	1	2	0
dict-running-totals-and-next-links	3	dicts-and-comprehensions	dicts	Running totals and next-link dictionaries	Two recurring dict-construction tasks: cumulative totals and linking each item to the next item.	These are a little more “algorithmic” than the average MCQ, so having the exact templates saves space and time.	4	mixed	pre-midterm	occasional	2	3	3	content/dicts-and-comprehensions/dicts/dict-running-totals-and-next-links/README.md	content/dicts-and-comprehensions/dicts/dict-running-totals-and-next-links	2	415	628	2	4	add-next	Add next	2	1	0
higher-order-lambda	1	functions-and-scope	imports-lambda	Higher-order functions and lambda	Lambda syntax, list-of-lambdas, and functions that receive another function plus values.	Lambda questions are usually short but high-yield: once you know the call shape, they become free points.	4	mixed	pre-midterm	common	2	5	3	content/functions-and-scope/imports-lambda/higher-order-lambda/README.md	content/functions-and-scope/imports-lambda/higher-order-lambda	1	295	673	1	4	add-next	Add next	2	1	0
imports-and-aliases	2	functions-and-scope	imports-lambda	Imports and aliases	Exact name rules for `import`, `from ... import ...`, and aliases.	Import questions are easy to lose for a silly reason: you imported under one name but used another.	3	beginner	pre-midterm	rare	1	2	2	content/functions-and-scope/imports-lambda/imports-and-aliases/README.md	content/functions-and-scope/imports-lambda/imports-and-aliases	2	372	372	1	4	edge-cases	Edge cases / niche	3	1	0
args-and-kwargs	1	functions-and-scope	parameters-flexible-args	*args and **kwargs	The shapes of `*args` and `**kwargs`, and the common tasks the exams build around them.	Flexible-argument questions recur: sum keyword values, compute multiple outputs from any number of integers, or iterate over keyword names in insertion order.	4	mixed	pre-midterm	signature	5	7	3	content/functions-and-scope/parameters-flexible-args/args-and-kwargs/README.md	content/functions-and-scope/parameters-flexible-args/args-and-kwargs	2	533	772	2	5	start-here	Start here	1	1	0
defaults-keyword-arguments	2	functions-and-scope	parameters-flexible-args	Defaults and keyword arguments	How default parameters work, when an argument becomes optional, and how keyword calls are matched.	Questions often hide the whole answer in one tiny detail: a default makes the second argument optional, or a keyword call binds by name instead of position.	4	beginner	pre-midterm	very-common	4	7	3	content/functions-and-scope/parameters-flexible-args/defaults-keyword-arguments/README.md	content/functions-and-scope/parameters-flexible-args/defaults-keyword-arguments	2	378	572	2	4	start-here	Start here	1	2	0
local-vs-global-scope	1	functions-and-scope	returns-scope	Local vs global scope	How names live inside and outside functions, plus the classic shadowing and NameError traps.	Scope questions recur in almost every exam family: a local variable is used outside its function, or assignment inside a function makes Python treat the name as local.	5	beginner	pre-midterm	signature	5	7	3	content/functions-and-scope/returns-scope/local-vs-global-scope/README.md	content/functions-and-scope/returns-scope/local-vs-global-scope	2	533	744	2	6	start-here	Start here	1	1	0
return-none-and-function-end	2	functions-and-scope	returns-scope	return, None, and function end	Remember what `return` does, what happens without `return`, and why `return some_mutating_method(...)` is often wrong.	Questions on missing `return` and accidental `None` are everywhere, especially in function-definition items.	5	beginner	pre-midterm	common	3	6	3	content/functions-and-scope/returns-scope/return-none-and-function-end/README.md	content/functions-and-scope/returns-scope/return-none-and-function-end	2	337	570	2	4	start-here	Start here	1	2	0
oop-init-self-defaults	1	oop	constructors-and-state	__init__, self, defaults, attributes	Constructor essentials: `__init__`, `self`, default attributes, and what must be assigned onto the instance.	The most repeated OOP pattern in the bank is a class definition where one option forgets `self`, forgets a default, or forgets to save attributes on the instance.	5	beginner	post-midterm	signature	5	10	3	content/oop/constructors-and-state/oop-init-self-defaults/README.md	content/oop/constructors-and-state/oop-init-self-defaults	3	680	680	4	4	start-here	Start here	1	1	1
oop-state-and-collection-attributes	2	oop	constructors-and-state	Object state and collection attributes	How objects store changing state, especially lists such as reviews or stored child objects like cars in a garage.	Many class questions are about an internal list attribute that grows over time, or capacity/state logic that depends on it.	4	mixed	post-midterm	signature	5	7	5	content/oop/constructors-and-state/oop-state-and-collection-attributes/README.md	content/oop/constructors-and-state/oop-state-and-collection-attributes	2	503	1281	2	5	start-here	Start here	1	2	0
oop-compare-and-report-patterns	1	oop	methods-and-comparison	Compare/report method patterns	How the bank writes comparison/report methods: use helper methods, compare object state carefully, then return a title/string/report.	These are common ‘long OOP’ questions. Once you see the pattern, they become template filling rather than full problem solving.	4	mixed	post-midterm	signature	5	7	3	content/oop/methods-and-comparison/oop-compare-and-report-patterns/README.md	content/oop/methods-and-comparison/oop-compare-and-report-patterns	3	863	863	2	4	start-here	Start here	1	1	0
oop-method-calls-and-self	2	oop	methods-and-comparison	Method calls and self	Define methods with `self`, call them on the object, and do not pass `self` again manually.	A classic exam trap is an otherwise-correct method call that passes the object twice.	4	beginner	post-midterm	common	3	4	3	content/oop/methods-and-comparison/oop-method-calls-and-self/README.md	content/oop/methods-and-comparison/oop-method-calls-and-self	2	333	570	2	3	add-next	Add next	2	1	0
pandas-sort-index-vs-values	1	pandas	construction-and-sorting	sort_index() vs sort_values()	Choose `sort_index` when ordering by labels and `sort_values` when ordering by column contents.	Several pandas reverse-engineering questions depend on this distinction.	4	mixed	post-midterm	common	3	4	3	content/pandas/construction-and-sorting/pandas-sort-index-vs-values/README.md	content/pandas/construction-and-sorting/pandas-sort-index-vs-values	2	301	561	1	3	add-next	Add next	2	1	0
pandas-build-from-args	2	pandas	construction-and-sorting	Build DataFrames from arguments	Build a DataFrame from flexible arguments by collecting one list per column and passing them into `pd.DataFrame(...)`.	The email-address question is a pure template once you know the shape.	3	mixed	post-midterm	rare	1	2	2	content/pandas/construction-and-sorting/pandas-build-from-args/README.md	content/pandas/construction-and-sorting/pandas-build-from-args	2	482	482	1	3	edge-cases	Edge cases / niche	3	1	0
pandas-series-vs-dataframe	1	pandas	selection	Series vs DataFrame	The shape difference between selecting one column as a Series and selecting one-column DataFrame slices.	Several pandas questions are solved instantly once you know whether an option returns a Series or a DataFrame.	5	mixed	post-midterm	signature	5	7	3	content/pandas/selection/pandas-series-vs-dataframe/README.md	content/pandas/selection/pandas-series-vs-dataframe	2	266	459	1	4	start-here	Start here	1	1	0
pandas-loc-iloc	2	pandas	selection	loc vs iloc	Use `loc` for labels and `iloc` for integer positions. This single distinction solves many pandas MCQs.	The exams repeatedly mix DataFrames with row labels starting at 1 and positional indexing starting at 0.	5	mixed	post-midterm	very-common	4	8	3	content/pandas/selection/pandas-loc-iloc/README.md	content/pandas/selection/pandas-loc-iloc	2	207	454	2	4	start-here	Start here	1	2	0
pandas-boolean-mask-and-indexing	3	pandas	selection	Boolean masks and indexing	Filter rows with boolean conditions and combine conditions safely.	This is one of the highest-frequency pandas skills in the bank.	5	mixed	post-midterm	common	3	5	3	content/pandas/selection/pandas-boolean-mask-and-indexing/README.md	content/pandas/selection/pandas-boolean-mask-and-indexing	2	434	651	2	4	start-here	Start here	1	3	0
pandas-map-vs-apply	1	pandas	transforms	map() vs apply()	When to use `Series.map(...)` and when to use `DataFrame.apply(..., axis=1)`.	This is the main pandas trap family: elementwise vs rowwise reasoning.	5	mixed	post-midterm	very-common	4	7	3	content/pandas/transforms/pandas-map-vs-apply/README.md	content/pandas/transforms/pandas-map-vs-apply	2	557	792	2	4	start-here	Start here	1	1	0
pandas-vectorized-new-columns	2	pandas	transforms	Vectorized new columns	Create new columns with vectorized column arithmetic instead of row-by-row Python loops where possible.	Many pandas questions are easiest because the answer is just `df['new'] = df['A'] - df['B']` or a similar vectorized expression.	5	mixed	post-midterm	common	3	7	3	content/pandas/transforms/pandas-vectorized-new-columns/README.md	content/pandas/transforms/pandas-vectorized-new-columns	2	310	432	2	3	start-here	Start here	1	2	0
pandas-string-and-date-columns	3	pandas	transforms	String/date columns	Common column transforms on strings and dates: abbreviations, suffixes, replacements, and building date strings.	These questions look varied but collapse to a few short patterns.	4	mixed	post-midterm	occasional	2	3	3	content/pandas/transforms/pandas-string-and-date-columns/README.md	content/pandas/transforms/pandas-string-and-date-columns	2	426	528	2	4	add-next	Add next	2	1	0
fstrings-and-format	1	strings	formatting	f-strings and .format()	String formatting patterns that actually show up in the bank: f-strings, positional `.format`, and named placeholders.	Formatting questions are usually won by reading placeholders carefully and spotting spelling/placeholder mismatches.	4	beginner	post-midterm	very-common	4	7	4	content/strings/formatting/fstrings-and-format/README.md	content/strings/formatting/fstrings-and-format	2	444	1040	2	4	start-here	Start here	1	1	0
targeted-string-edit-patterns	2	strings	formatting	Targeted string edits	Small but common string-edit tasks: swap two marked letters, replace only one occurrence, or normalize text before comparison.	These questions reward knowing the exact order of operations, especially because strings are immutable and `replace(..., count)` works left-to-right.	4	mixed	post-midterm	very-common	4	6	3	content/strings/formatting/targeted-string-edit-patterns/README.md	content/strings/formatting/targeted-string-edit-patterns	2	415	623	2	4	start-here	Start here	1	2	0
split-join-replace	1	strings	methods	split(), join(), replace()	The three most exam-relevant string methods: split into parts, join parts back, and replace text.	These methods power URL/email/phone parsing, sentence shuffling, capitalization fixes, and many distractors.	5	beginner	post-midterm	signature	5	12	3	content/strings/methods/split-join-replace/README.md	content/strings/methods/split-join-replace	2	480	744	2	4	start-here	Start here	1	1	0
find-index-count	2	strings	methods	find(), index(), count()	Search-like string methods: where something starts, how many times it occurs, and when you get `-1` versus an error.	The bank uses these methods directly and also hides them inside “replace only the second occurrence” questions.	4	beginner	post-midterm	common	3	5	3	content/strings/methods/find-index-count/README.md	content/strings/methods/find-index-count	2	424	692	2	4	add-next	Add next	2	1	0
case-and-capitalization	3	strings	methods	Case methods and capitalization	The case methods that appear most often: `lower`, `upper`, `islower`, `isupper`, and `capitalize`.	Case conversion appears in list comprehensions, proper-noun cleanup, and string-validation distractors.	3	beginner	post-midterm	common	3	5	2	content/strings/methods/case-and-capitalization/README.md	content/strings/methods/case-and-capitalization	2	520	520	1	5	add-next	Add next	2	2	0
url-email-phone-parsing	1	strings	parsing	URL, email, and phone parsing	Reusable parsing pipelines for URLs, email addresses, and phone numbers.	The exam likes “extract piece X from string Y” questions. They are easiest when you think in short pipelines.	5	mixed	post-midterm	common	3	5	3	content/strings/parsing/url-email-phone-parsing/README.md	content/strings/parsing/url-email-phone-parsing	2	412	630	2	5	start-here	Start here	1	1	0
mcq-elimination-checklist	1	survival	answering-strategy	MCQ elimination checklist	A cross-topic decision tree for eliminating bad options before you fully solve the question.	The bank repeatedly rewards fast shape-checking: type, mutation, labels vs positions, parse vs format, and whether code actually returns/prints what the stem asks.	5	beginner	mixed	signature	5	8	4	content/survival/answering-strategy/mcq-elimination-checklist/README.md	content/survival/answering-strategy/mcq-elimination-checklist	2	1552	2023	4	6	start-here	Start here	1	1	1
mutation-vs-return	1	survival	cross-topic-traps	Mutation vs return value	A single place to remember which operations change an object, which return a new value, and which return `None`.	A large share of wrong options fail because the code forgets that strings are immutable, that `append`/`sort`/`shuffle` mutate in place, or that some expressions return `None`.	5	beginner	mixed	signature	5	6	3	content/survival/cross-topic-traps/mutation-vs-return/README.md	content/survival/cross-topic-traps/mutation-vs-return	2	905	1233	3	7	start-here	Start here	1	1	1
