question_id	exam_id	exam_title	exam_family	group_name	question_number	raw_topic	first_line	main_topic	subtopic	course_phase	question_form	question_form_title	primary_snippet_slug	primary_snippet_title	secondary_snippet_slugs	secondary_snippet_titles
final-exam-solutions-for-python-programming-62oop21-q11	final-exam-solutions-for-python-programming-62oop21	2022 Final Exam	2022-final	previous-years	11	8-datetime-1	What does the following code segment print to the screen?	datetime	parsing-formatting	post-midterm	predict_output	Predict the output	datetime-strptime-strftime	strptime() and strftime()	datetime-timedelta-day-counts	timedelta and day counts
final-exam-solutions-for-python-programming-62oop21-q12	final-exam-solutions-for-python-programming-62oop21	2022 Final Exam	2022-final	previous-years	12	8-datetime-2	Suppose you have the following definition for a Meeting class, which records basic information about meetings in a calendar application.	datetime	arithmetic-and-overlap	post-midterm	choose_working_code	Choose the code that works	datetime-overlap-logic	Overlap logic	datetime-build-from-parts	Build datetimes from parts
final-exam-solutions-for-python-programming-62oop21-q13	final-exam-solutions-for-python-programming-62oop21	2022 Final Exam	2022-final	previous-years	13	Basic logic 2	Suppose you have a variable x which contains a list of tuples, as follows:	core-python	lists-loops	pre-midterm	predict_output	Predict the output	nested-indexing-and-negative-indices	Nested indexing and negative indices	types-none-bool-equality	Types, None, bool, equality
final-exam-solutions-for-python-programming-62oop21-q14	final-exam-solutions-for-python-programming-62oop21	2022 Final Exam	2022-final	previous-years	14	Basic loop 2	Which of the following code segments will print every even number between 0 and 20 (including 0 and 20) to the screen?	core-python	lists-loops	pre-midterm	choose_working_code	Choose the code that works	loop-templates	Loop templates		
final-exam-solutions-for-python-programming-62oop21-q15	final-exam-solutions-for-python-programming-62oop21	2022 Final Exam	2022-final	previous-years	15	Basic scope 2	Choose the correct statement about the program below:	functions-and-scope	returns-scope	pre-midterm	select_statement	Select the true statement	local-vs-global-scope	Local vs global scope		
final-exam-solutions-for-python-programming-62oop21-q16	final-exam-solutions-for-python-programming-62oop21	2022 Final Exam	2022-final	previous-years	16	final-dictionary-1	You have to write a function called main, which takes a list of unique integers as an argument and returns a dictionary.	dicts-and-comprehensions	dicts	pre-midterm	choose_working_code	Choose the code that works	dict-running-totals-and-next-links	Running totals and next-link dictionaries	zip-enumerate-core	zip() and enumerate() core patterns
final-exam-solutions-for-python-programming-62oop21-q17	final-exam-solutions-for-python-programming-62oop21	2022 Final Exam	2022-final	previous-years	17	final-dictionary-2	What will be printed by the following program?	dicts-and-comprehensions	dicts	pre-midterm	predict_output	Predict the output	dict-iteration-equality	Dictionary iteration and equality		
final-exam-solutions-for-python-programming-62oop21-q18	final-exam-solutions-for-python-programming-62oop21	2022 Final Exam	2022-final	previous-years	18	final-dictionary-3	d1 = {1: 2, 2: 1}	dicts-and-comprehensions	dicts	pre-midterm	odd_one_out	Find the odd one out	dict-iteration-equality	Dictionary iteration and equality	types-none-bool-equality	Types, None, bool, equality
final-exam-solutions-for-python-programming-62oop21-q19	final-exam-solutions-for-python-programming-62oop21	2022 Final Exam	2022-final	previous-years	19	final-functions-1	"Suppose that you have a string called s1, which contains several letters. The letter ""x"" and the letter ""y"" occur exactly once in the string, and ""x"" always precedes ""y""."	strings	formatting	post-midterm	choose_working_code	Choose the code that works	targeted-string-edit-patterns	Targeted string edits	split-join-replace	split(), join(), replace()
final-exam-solutions-for-python-programming-62oop21-q20	final-exam-solutions-for-python-programming-62oop21	2022 Final Exam	2022-final	previous-years	20	final-functions-2	Take a look at the following function definition.	functions-and-scope	parameters-flexible-args	pre-midterm	predict_output	Predict the output	args-and-kwargs	*args and **kwargs	defaults-keyword-arguments	Defaults and keyword arguments
final-exam-solutions-for-python-programming-62oop21-q21	final-exam-solutions-for-python-programming-62oop21	2022 Final Exam	2022-final	previous-years	21	final-functions-3	Take a look at the following function definition.	functions-and-scope	returns-scope	pre-midterm	predict_output	Predict the output	return-none-and-function-end	return, None, and function end	defaults-keyword-arguments	Defaults and keyword arguments
final-exam-solutions-for-python-programming-62oop21-q22	final-exam-solutions-for-python-programming-62oop21	2022 Final Exam	2022-final	previous-years	22	List lambda 2	Assume that you have a variable called x, which contains a list of integers.	functions-and-scope	imports-lambda	pre-midterm	choose_working_code	Choose the code that works	higher-order-lambda	Higher-order functions and lambda		
final-exam-solutions-for-python-programming-62oop21-q23	final-exam-solutions-for-python-programming-62oop21	2022 Final Exam	2022-final	previous-years	23	List logic 2	Which of the following programs creates a new list y, in which the elements are those elements of list x that are equal to their indices?	core-python	lists-loops	pre-midterm	choose_working_code	Choose the code that works	list-selection-and-aggregation	List selection and aggregation	zip-enumerate-core|list-comprehension-patterns	zip() and enumerate() core patterns | List comprehension patterns
final-exam-solutions-for-python-programming-62oop21-q24	final-exam-solutions-for-python-programming-62oop21	2022 Final Exam	2022-final	previous-years	24	List loop 2	Assume that you have a list called x, which is a list of multiple sub-lists containing integers.	core-python	lists-loops	pre-midterm	choose_working_code	Choose the code that works	list-selection-and-aggregation	List selection and aggregation	builtins-return-values	Built-ins and what they return
final-exam-study-guide-trial-python-basics-2023-q01	final-exam-study-guide-trial-python-basics-2023	2023 Trial Final Study Guide	2023-trial	previous-years	1	1_Basics_Logic_2	Suppose you already have: (i) a list of strings called europe which contain the names of all European countries, and (ii) a string variable called destination.	core-python	types-conditions	pre-midterm	choose_working_code	Choose the code that works	membership-and-condition-logic	Membership and condition logic		
final-exam-study-guide-trial-python-basics-2023-q02	final-exam-study-guide-trial-python-basics-2023	2023 Trial Final Study Guide	2023-trial	previous-years	2	1_Basics_Scope_3	Calling the function func_10 will produce an error. Which line of the following code segment produces the error?	functions-and-scope	returns-scope	pre-midterm	identify_error_line	Identify the bad line	local-vs-global-scope	Local vs global scope		
final-exam-study-guide-trial-python-basics-2023-q03	final-exam-study-guide-trial-python-basics-2023	2023 Trial Final Study Guide	2023-trial	previous-years	3	1_Basics_Variables_1	What is the output of the following code segment?	core-python	types-conditions	pre-midterm	predict_output	Predict the output	types-none-bool-equality	Types, None, bool, equality	builtins-return-values	Built-ins and what they return
final-exam-study-guide-trial-python-basics-2023-q04	final-exam-study-guide-trial-python-basics-2023	2023 Trial Final Study Guide	2023-trial	previous-years	4	2-dictionaries - comprehension - 1	You have to create a dictionary called vowels_ASCII where the keys are the lowercase vowels (a, e, i, o, u) and the values are their corresponding ASCII values.	dicts-and-comprehensions	comprehensions	post-midterm	equivalence_match	Match equivalent expressions / outputs	dict-comprehension-patterns	Dictionary comprehension patterns	builtins-return-values	Built-ins and what they return
final-exam-study-guide-trial-python-basics-2023-q05	final-exam-study-guide-trial-python-basics-2023	2023 Trial Final Study Guide	2023-trial	previous-years	5	2-dictionaries - manipulation - 1	Suppose you have three variables called player1_goals, player2_goals, and player3_goals. Each of the variables contains a list of integers that represents the number of goals scored by the football players in five different matches:	core-python	lists-loops	pre-midterm	choose_working_code	Choose the code that works	zip-enumerate-core	zip() and enumerate() core patterns	dict-build-count-aggregate	Build, count, and aggregate dictionaries
final-exam-study-guide-trial-python-basics-2023-q06	final-exam-study-guide-trial-python-basics-2023	2023 Trial Final Study Guide	2023-trial	previous-years	6	2-dictionaries - slicing - 1	You have the following dictionary that represents the monthly sales of a store:	dicts-and-comprehensions	dicts	pre-midterm	choose_working_code	Choose the code that works	dict-build-count-aggregate	Build, count, and aggregate dictionaries	dict-iteration-equality	Dictionary iteration and equality
final-exam-study-guide-trial-python-basics-2023-q07	final-exam-study-guide-trial-python-basics-2023	2023 Trial Final Study Guide	2023-trial	previous-years	7	2-list - comprehension - 2	What is the output of the following code segment?	dicts-and-comprehensions	comprehensions	post-midterm	predict_output	Predict the output	list-comprehension-patterns	List comprehension patterns		
final-exam-study-guide-trial-python-basics-2023-q08	final-exam-study-guide-trial-python-basics-2023	2023 Trial Final Study Guide	2023-trial	previous-years	8	2-list - manipulation - 2	What is the output of the following code segment?	core-python	lists-loops	pre-midterm	predict_output	Predict the output	zip-enumerate-core	zip() and enumerate() core patterns	list-selection-and-aggregation	List selection and aggregation
final-exam-study-guide-trial-python-basics-2023-q09	final-exam-study-guide-trial-python-basics-2023	2023 Trial Final Study Guide	2023-trial	previous-years	9	2-list - slicing - 2	Suppose you have a list called mylist. You want to extract every third element starting from index 1 (inclusive) to the last index (inclusive) from that list using the following line of code:	core-python	lists-loops	pre-midterm	fill_template	Fill a template / blank	slicing-patterns	Slicing patterns		
final-exam-study-guide-trial-python-basics-2023-q10	final-exam-study-guide-trial-python-basics-2023	2023 Trial Final Study Guide	2023-trial	previous-years	10	3_Function_Argument_1	Suppose you have the following function:	functions-and-scope	returns-scope	pre-midterm	predict_output	Predict the output	return-none-and-function-end	return, None, and function end	defaults-keyword-arguments	Defaults and keyword arguments
final-exam-study-guide-trial-python-basics-2023-q11	final-exam-study-guide-trial-python-basics-2023	2023 Trial Final Study Guide	2023-trial	previous-years	11	3_Function_Built-in_3	Suppose you have a variable called x which contains a list of integers as follows:	core-python	types-conditions	pre-midterm	odd_one_out	Find the odd one out	builtins-return-values	Built-ins and what they return	slicing-patterns	Slicing patterns
final-exam-study-guide-trial-python-basics-2023-q12	final-exam-study-guide-trial-python-basics-2023	2023 Trial Final Study Guide	2023-trial	previous-years	12	3_Function_Flexible-Argument_1	You want to write a function called main which accepts a flexible number of integers as arguments.	functions-and-scope	parameters-flexible-args	pre-midterm	choose_working_code	Choose the code that works	args-and-kwargs	*args and **kwargs	dict-build-count-aggregate	Build, count, and aggregate dictionaries
final-exam-study-guide-trial-python-basics-2023-q13	final-exam-study-guide-trial-python-basics-2023	2023 Trial Final Study Guide	2023-trial	previous-years	13	6-string - fstring - 2	You have the following objects loaded in Python:	strings	formatting	post-midterm	choose_working_code	Choose the code that works	fstrings-and-format	f-strings and .format()		
final-exam-study-guide-trial-python-basics-2023-q14	final-exam-study-guide-trial-python-basics-2023	2023 Trial Final Study Guide	2023-trial	previous-years	14	7-pandas - easy - 1	Suppose you have run the following block of code:	pandas	selection	post-midterm	equivalence_match	Match equivalent expressions / outputs	pandas-series-vs-dataframe	Series vs DataFrame		
final-exam-study-guide-trial-python-basics-2023-q15	final-exam-study-guide-trial-python-basics-2023	2023 Trial Final Study Guide	2023-trial	previous-years	15	8_Datetime_Easy_1	Which code segment gives the same output as the following?	datetime	parsing-formatting	post-midterm	equivalence_match	Match equivalent expressions / outputs	datetime-strptime-strftime	strptime() and strftime()	datetime-timedelta-day-counts	timedelta and day counts
final-exam-study-guide-trial-python-basics-2023-q16	final-exam-study-guide-trial-python-basics-2023	2023 Trial Final Study Guide	2023-trial	previous-years	16	9_OOP_Easy_3	You have the following definition for a class called Shape:	oop	constructors-and-state	post-midterm	predict_output	Predict the output	oop-init-self-defaults	__init__, self, defaults, attributes		
final-exam-study-guide-trial-python-basics-2023-q17	final-exam-study-guide-trial-python-basics-2023	2023 Trial Final Study Guide	2023-trial	previous-years	17	6-string - operations - 2	Write a function called shuffle_sentence that takes a string as an argument and returns a new string where the words are shuffled randomly.	strings	methods	post-midterm	choose_working_code	Choose the code that works	split-join-replace	split(), join(), replace()	mutation-vs-return	Mutation vs return value
final-exam-study-guide-trial-python-basics-2023-q18	final-exam-study-guide-trial-python-basics-2023	2023 Trial Final Study Guide	2023-trial	previous-years	18	6-strings - find & replace - 1	Consider the following line of code:	strings	methods	post-midterm	equivalence_match	Match equivalent expressions / outputs	split-join-replace	split(), join(), replace()	targeted-string-edit-patterns	Targeted string edits
final-exam-study-guide-trial-python-basics-2023-q19	final-exam-study-guide-trial-python-basics-2023	2023 Trial Final Study Guide	2023-trial	previous-years	19	7-pandas - hard - 1	Consider the following pandas DataFrame called df:	pandas	selection	post-midterm	choose_working_code	Choose the code that works	pandas-boolean-mask-and-indexing	Boolean masks and indexing	pandas-map-vs-apply	map() vs apply()
final-exam-study-guide-trial-python-basics-2023-q20	final-exam-study-guide-trial-python-basics-2023	2023 Trial Final Study Guide	2023-trial	previous-years	20	7-pandas - lambda - 1	Consider the following pandas DataFrame called df:	pandas	transforms	post-midterm	choose_working_code	Choose the code that works	pandas-map-vs-apply	map() vs apply()	pandas-vectorized-new-columns	Vectorized new columns
final-exam-study-guide-trial-python-basics-2023-q21	final-exam-study-guide-trial-python-basics-2023	2023 Trial Final Study Guide	2023-trial	previous-years	21	8_Datetime_Function_3	You want to create a function called main which take an integer and a flexible number of strings as arguments. The strings represent dates in the format of DD MM YYYY. The day, month and year can be separated by different characters.	datetime	sequence-generation	post-midterm	explain_error_or_mismatch	Explain why a mismatch/error happens	datetime-sequence-generation	Date sequences	datetime-strptime-strftime	strptime() and strftime()
final-exam-study-guide-trial-python-basics-2023-q22	final-exam-study-guide-trial-python-basics-2023	2023 Trial Final Study Guide	2023-trial	previous-years	22	8_Datetime_Hard_2	You want to define a class called Calendar, which has four attributes that are initialized at the time of object construction:	datetime	parsing-formatting	post-midterm	choose_working_code	Choose the code that works	datetime-build-from-parts	Build datetimes from parts	oop-init-self-defaults	__init__, self, defaults, attributes
final-exam-study-guide-trial-python-basics-2023-q23	final-exam-study-guide-trial-python-basics-2023	2023 Trial Final Study Guide	2023-trial	previous-years	23	9_OOP_Function_2	You have the following definition for a class called Employee:	oop	methods-and-comparison	post-midterm	choose_working_code	Choose the code that works	oop-compare-and-report-patterns	Compare/report method patterns	fstrings-and-format	f-strings and .format()
final-exam-study-guide-trial-python-basics-2023-q24	final-exam-study-guide-trial-python-basics-2023	2023 Trial Final Study Guide	2023-trial	previous-years	24	9_OOP_Hard_2	You have the following definitions for a class called Car:	oop	constructors-and-state	post-midterm	choose_working_code	Choose the code that works	oop-state-and-collection-attributes	Object state and collection attributes	zip-enumerate-core	zip() and enumerate() core patterns
introduction-to-python-trial-final-exam-solutions-py22-q01	introduction-to-python-trial-final-exam-solutions-py22	2024 Trial Final	2024-trial	previous-years	1	1_Basics_Logic_3	Suppose you have a variable called x which contains an integer between 0 and 10 (both are inclusive).	core-python	types-conditions	pre-midterm	choose_working_code	Choose the code that works	membership-and-condition-logic	Membership and condition logic	types-none-bool-equality	Types, None, bool, equality
introduction-to-python-trial-final-exam-solutions-py22-q02	introduction-to-python-trial-final-exam-solutions-py22	2024 Trial Final	2024-trial	previous-years	2	1_Basics_Scope_2	Take a look at the following code segment. Will executing this code segment produce an error? If yes, then why?	functions-and-scope	returns-scope	pre-midterm	explain_error_or_mismatch	Explain why a mismatch/error happens	local-vs-global-scope	Local vs global scope		
introduction-to-python-trial-final-exam-solutions-py22-q03	introduction-to-python-trial-final-exam-solutions-py22	2024 Trial Final	2024-trial	previous-years	3	1_Basics_Variables_2	What will be returned by the following code segment?	core-python	types-conditions	pre-midterm	predict_output	Predict the output	types-none-bool-equality	Types, None, bool, equality	builtins-return-values	Built-ins and what they return
introduction-to-python-trial-final-exam-solutions-py22-q04	introduction-to-python-trial-final-exam-solutions-py22	2024 Trial Final	2024-trial	previous-years	4	2-dictionaries - comprehension - 2	You have to create a dictionary called roman_nums where the keys are the integers from 1 to 5 (both are inclusive) and the values are their corresponding Roman numeral symbols.	dicts-and-comprehensions	comprehensions	post-midterm	choose_working_code	Choose the code that works	dict-comprehension-patterns	Dictionary comprehension patterns	zip-enumerate-core	zip() and enumerate() core patterns
introduction-to-python-trial-final-exam-solutions-py22-q05	introduction-to-python-trial-final-exam-solutions-py22	2024 Trial Final	2024-trial	previous-years	5	2-dictionaries - manipulation - 2	You have two lists representing the names and ages of individuals:	core-python	lists-loops	pre-midterm	choose_working_code	Choose the code that works	zip-enumerate-core	zip() and enumerate() core patterns	dict-build-count-aggregate	Build, count, and aggregate dictionaries
introduction-to-python-trial-final-exam-solutions-py22-q06	introduction-to-python-trial-final-exam-solutions-py22	2024 Trial Final	2024-trial	previous-years	6	2-dictionaries - slicing - 2	You have the following dictionary that represents the performance ratings of employees in a company:	dicts-and-comprehensions	dicts	pre-midterm	choose_working_code	Choose the code that works	dict-build-count-aggregate	Build, count, and aggregate dictionaries	builtins-return-values	Built-ins and what they return
introduction-to-python-trial-final-exam-solutions-py22-q07	introduction-to-python-trial-final-exam-solutions-py22	2024 Trial Final	2024-trial	previous-years	7	2-list - comprehension - 1	What is the output of the following code segment?	dicts-and-comprehensions	comprehensions	post-midterm	predict_output	Predict the output	list-comprehension-patterns	List comprehension patterns		
introduction-to-python-trial-final-exam-solutions-py22-q08	introduction-to-python-trial-final-exam-solutions-py22	2024 Trial Final	2024-trial	previous-years	8	2-list - manipulation - 1	What is the output of the following code segment?	core-python	lists-loops	pre-midterm	predict_output	Predict the output	zip-enumerate-core	zip() and enumerate() core patterns	list-selection-and-aggregation	List selection and aggregation
introduction-to-python-trial-final-exam-solutions-py22-q09	introduction-to-python-trial-final-exam-solutions-py22	2024 Trial Final	2024-trial	previous-years	9	2-list - slicing - 1	Suppose you have a list called mylist. You want to extract every fourth element starting from index 2 (inclusive) to the second-to-last index (inclusive) of that list using the following line of code:	core-python	lists-loops	pre-midterm	fill_template	Fill a template / blank	slicing-patterns	Slicing patterns		
introduction-to-python-trial-final-exam-solutions-py22-q10	introduction-to-python-trial-final-exam-solutions-py22	2024 Trial Final	2024-trial	previous-years	10	3_Function_Argument_2	Suppose you have the following function, which takes a list of integers as an argument:	core-python	lists-loops	pre-midterm	predict_output	Predict the output	zip-enumerate-core	zip() and enumerate() core patterns	membership-and-condition-logic	Membership and condition logic
introduction-to-python-trial-final-exam-solutions-py22-q11	introduction-to-python-trial-final-exam-solutions-py22	2024 Trial Final	2024-trial	previous-years	11	3_Function_Built-in_1	Suppose you have a variable called x which contains a string as follows:	core-python	types-conditions	pre-midterm	equivalence_match	Match equivalent expressions / outputs	builtins-return-values	Built-ins and what they return	find-index-count	find(), index(), count()
introduction-to-python-trial-final-exam-solutions-py22-q12	introduction-to-python-trial-final-exam-solutions-py22	2024 Trial Final	2024-trial	previous-years	12	3_Function_Flexible-Argument_2	You need to write a function called main which accepts a list of integers as an argument. The function should return a tuple of two integers, in which the first is the sum of the squares of all even numbers, and the second is the sum of the squares of all odd numbers.	functions-and-scope	parameters-flexible-args	pre-midterm	choose_working_code	Choose the code that works	args-and-kwargs	*args and **kwargs		
introduction-to-python-trial-final-exam-solutions-py22-q13	introduction-to-python-trial-final-exam-solutions-py22	2024 Trial Final	2024-trial	previous-years	13	6-string - fstring - 1	You have the following objects loaded in Python:	strings	formatting	post-midterm	equivalence_match	Match equivalent expressions / outputs	fstrings-and-format	f-strings and .format()		
introduction-to-python-trial-final-exam-solutions-py22-q14	introduction-to-python-trial-final-exam-solutions-py22	2024 Trial Final	2024-trial	previous-years	14	7-pandas - easy - 2	Suppose you have the following DataFrame called df, and assume that pandas is already imported:	pandas	selection	post-midterm	odd_one_out	Find the odd one out	pandas-series-vs-dataframe	Series vs DataFrame	pandas-loc-iloc	loc vs iloc
introduction-to-python-trial-final-exam-solutions-py22-q15	introduction-to-python-trial-final-exam-solutions-py22	2024 Trial Final	2024-trial	previous-years	15	8_Datetime_Easy_3	Which code segment gives the same output as the following:	datetime	arithmetic-and-overlap	post-midterm	equivalence_match	Match equivalent expressions / outputs	datetime-timedelta-day-counts	timedelta and day counts	datetime-strptime-strftime	strptime() and strftime()
introduction-to-python-trial-final-exam-solutions-py22-q16	introduction-to-python-trial-final-exam-solutions-py22	2024 Trial Final	2024-trial	previous-years	16	9_OOP_Easy_2	You have the following definition of a class called Flight. What would be the output if we execute the following statements?	oop	constructors-and-state	post-midterm	predict_output	Predict the output	oop-init-self-defaults	__init__, self, defaults, attributes	oop-state-and-collection-attributes	Object state and collection attributes
introduction-to-python-trial-final-exam-solutions-py22-q17	introduction-to-python-trial-final-exam-solutions-py22	2024 Trial Final	2024-trial	previous-years	17	6-string - operations - 1	Consider the following code snippet. Which operation in the code snippet contains an error?	strings	methods	post-midterm	identify_error_line	Identify the bad line	split-join-replace	split(), join(), replace()	mutation-vs-return	Mutation vs return value
introduction-to-python-trial-final-exam-solutions-py22-q18	introduction-to-python-trial-final-exam-solutions-py22	2024 Trial Final	2024-trial	previous-years	18	6-strings - find - 2	Suppose you have the following variables called sentence1 and sentence2 which contain strings. The sentences contain names, but they are not properly capitalized. You want to create a new string object called paragraph, with the proper nouns capitalized in the two sentences and the two sentences connected into one big string.	strings	formatting	post-midterm	choose_working_code	Choose the code that works	targeted-string-edit-patterns	Targeted string edits	case-and-capitalization|split-join-replace	Case methods and capitalization | split(), join(), replace()
introduction-to-python-trial-final-exam-solutions-py22-q19	introduction-to-python-trial-final-exam-solutions-py22	2024 Trial Final	2024-trial	previous-years	19	7-pandas - hard - 2	Consider the following pandas DataFrame called df, and assume that Pandas is already imported.	pandas	transforms	post-midterm	choose_working_code	Choose the code that works	pandas-string-and-date-columns	String/date columns	pandas-map-vs-apply	map() vs apply()
introduction-to-python-trial-final-exam-solutions-py22-q20	introduction-to-python-trial-final-exam-solutions-py22	2024 Trial Final	2024-trial	previous-years	20	7-pandas - lambda - 2	What will be printed by the following code?	pandas	transforms	post-midterm	predict_output	Predict the output	pandas-map-vs-apply	map() vs apply()	pandas-sort-index-vs-values	sort_index() vs sort_values()
introduction-to-python-trial-final-exam-solutions-py22-q21	introduction-to-python-trial-final-exam-solutions-py22	2024 Trial Final	2024-trial	previous-years	21	8_Datetime_Function_2	You have the following definition for a class called Calendar.	datetime	arithmetic-and-overlap	post-midterm	explain_error_or_mismatch	Explain why a mismatch/error happens	datetime-overlap-logic	Overlap logic	datetime-build-from-parts	Build datetimes from parts
introduction-to-python-trial-final-exam-solutions-py22-q22	introduction-to-python-trial-final-exam-solutions-py22	2024 Trial Final	2024-trial	previous-years	22	8_Datetime_Hard_1	You want to create a DataFrame called df that has the following format:	datetime	sequence-generation	post-midterm	choose_working_code	Choose the code that works	datetime-sequence-generation	Date sequences	datetime-build-from-parts	Build datetimes from parts
introduction-to-python-trial-final-exam-solutions-py22-q23	introduction-to-python-trial-final-exam-solutions-py22	2024 Trial Final	2024-trial	previous-years	23	9_OOP_Function_3	You have the following definition of a class called Pack.	oop	methods-and-comparison	post-midterm	choose_working_code	Choose the code that works	oop-compare-and-report-patterns	Compare/report method patterns		
introduction-to-python-trial-final-exam-solutions-py22-q24	introduction-to-python-trial-final-exam-solutions-py22	2024 Trial Final	2024-trial	previous-years	24	9_OOP_Hard_1	You have the following definition for a class called Piece.	oop	methods-and-comparison	post-midterm	predict_output	Predict the output	oop-method-calls-and-self	Method calls and self	types-none-bool-equality	Types, None, bool, equality
resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q01	resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023	2023 Resit Exam Guidelines	2023-resit-family	previous-years	1	Multiple choice - Question-ID: 357615	Suppose you have a list called x containing tuples, where	core-python	lists-loops	pre-midterm	choose_working_code	Choose the code that works	nested-indexing-and-negative-indices	Nested indexing and negative indices	types-none-bool-equality	Types, None, bool, equality
resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q02	resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023	2023 Resit Exam Guidelines	2023-resit-family	previous-years	2	Multiple choice - Question-ID: 357607	Executing the following program will produce an error. Why?	functions-and-scope	returns-scope	pre-midterm	explain_error_or_mismatch	Explain why a mismatch/error happens	local-vs-global-scope	Local vs global scope	return-none-and-function-end	return, None, and function end
resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q03	resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023	2023 Resit Exam Guidelines	2023-resit-family	previous-years	3	Multiple choice - Question-ID: 355235	What will be printed by the following code segment?	functions-and-scope	returns-scope	pre-midterm	predict_output	Predict the output	return-none-and-function-end	return, None, and function end	types-none-bool-equality	Types, None, bool, equality
