trap_slug	label	description	question_ref_count	exam_family_count	snippet_count	piece_count	recurrence_level	question_refs
custom_index_not_zero_based	Custom Index Not Zero Based	A custom DataFrame index means label-based selection is not the same as row position.	8	4	1	0	very-common	sample-final-plus-answers-q05|sample-final-plus-answers-q06|final-exam-solutions-for-python-programming-62oop21-q07|introduction-to-python-trial-final-exam-solutions-py22-q14|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q18|resit-solutions-for-introduction-to-python-35761538-q18|trial-final-exam-solutions-introduction-to-python-3077951-q05|trial-final-exam-solutions-introduction-to-python-3077951-q06
args_tuple_shape	Args Tuple Shape	`*args` collects extra positional arguments into a tuple.	7	5	1	0	very-common	sample-final-plus-answers-q23|final-exam-solutions-for-python-programming-62oop21-q20|final-exam-study-guide-trial-python-basics-2023-q12|introduction-to-python-trial-final-exam-solutions-py22-q12|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q06|resit-solutions-for-introduction-to-python-35761538-q06|trial-final-exam-solutions-introduction-to-python-3077951-q23
assignment_makes_local	Assignment Makes Local	Assigning to a name inside a function makes it local unless you declare otherwise.	7	5	1	0	very-common	sample-final-plus-answers-q15|final-exam-solutions-for-python-programming-62oop21-q15|final-exam-study-guide-trial-python-basics-2023-q02|introduction-to-python-trial-final-exam-solutions-py22-q02|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q02|resit-solutions-for-introduction-to-python-35761538-q02|trial-final-exam-solutions-introduction-to-python-3077951-q15
both_neither_all_logic	Both Neither All Logic	Evaluate each statement separately before touching “both”, “neither”, or “all of the above”.	7	5	0	0	very-common	sample-final-plus-answers-q23|final-exam-solutions-for-python-programming-62oop21-q09|final-exam-study-guide-trial-python-basics-2023-q04|final-exam-study-guide-trial-python-basics-2023-q18|introduction-to-python-trial-final-exam-solutions-py22-q13|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q05|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q09
broadcast_shape_mismatch	Broadcast Shape Mismatch	The operation tries to combine objects whose shapes do not align for broadcasting.	7	3	1	0	very-common	final-exam-solutions-for-python-programming-62oop21-q05|final-exam-solutions-for-python-programming-62oop21-q06|final-exam-study-guide-trial-python-basics-2023-q20|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q23|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q24|resit-solutions-for-introduction-to-python-35761538-q23|resit-solutions-for-introduction-to-python-35761538-q24
compare_both_directions	Compare Both Directions	Comparison-style methods often need to consider both directions or both objects symmetrically.	7	5	1	0	very-common	sample-final-plus-answers-q02|final-exam-solutions-for-python-programming-62oop21-q02|final-exam-study-guide-trial-python-basics-2023-q23|introduction-to-python-trial-final-exam-solutions-py22-q23|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q20|resit-solutions-for-introduction-to-python-35761538-q20|trial-final-exam-solutions-introduction-to-python-3077951-q02
comprehension_if_else_position	Comprehension If Else Position	The inline `x if cond else y` belongs before the `for`; a filter-only `if` goes after the `for`.	7	5	1	0	very-common	sample-final-plus-answers-q12|final-exam-solutions-for-python-programming-62oop21-q23|final-exam-study-guide-trial-python-basics-2023-q07|introduction-to-python-trial-final-exam-solutions-py22-q07|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q10|resit-solutions-for-introduction-to-python-35761538-q10|trial-final-exam-solutions-introduction-to-python-3077951-q12
datetime_arg_order	Datetime Arg Order	When building a `datetime`, the positional order is year, month, day (then time parts).	7	4	2	0	very-common	final-exam-solutions-for-python-programming-62oop21-q12|final-exam-study-guide-trial-python-basics-2023-q22|introduction-to-python-trial-final-exam-solutions-py22-q19|introduction-to-python-trial-final-exam-solutions-py22-q21|introduction-to-python-trial-final-exam-solutions-py22-q22|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q22|resit-solutions-for-introduction-to-python-35761538-q22
format_placeholder_mismatch	Format Placeholder Mismatch	The formatting expression has the wrong placeholder names or positions.	7	4	1	0	very-common	sample-final-plus-answers-q03|final-exam-study-guide-trial-python-basics-2023-q13|final-exam-study-guide-trial-python-basics-2023-q23|introduction-to-python-trial-final-exam-solutions-py22-q13|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q14|resit-solutions-for-introduction-to-python-35761538-q14|trial-final-exam-solutions-introduction-to-python-3077951-q03
inclusive_plus_one	Inclusive Plus One	Inclusive end-points in loop/range questions often require a `+ 1`.	7	5	1	0	very-common	sample-final-plus-answers-q10|final-exam-solutions-for-python-programming-62oop21-q11|final-exam-study-guide-trial-python-basics-2023-q15|introduction-to-python-trial-final-exam-solutions-py22-q15|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q17|resit-solutions-for-introduction-to-python-35761538-q17|trial-final-exam-solutions-introduction-to-python-3077951-q10
keyword_binding_by_name	Keyword Binding By Name	Keyword arguments bind by parameter name, not by position.	7	4	1	0	very-common	sample-final-plus-answers-q01|final-exam-solutions-for-python-programming-62oop21-q20|final-exam-solutions-for-python-programming-62oop21-q21|final-exam-study-guide-trial-python-basics-2023-q10|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q04|resit-solutions-for-introduction-to-python-35761538-q04|trial-final-exam-solutions-introduction-to-python-3077951-q01
kwargs_values_not_keys	Kwargs Values Not Keys	`**kwargs` stores keyword arguments in a dictionary of key-value pairs.	7	5	1	0	very-common	sample-final-plus-answers-q23|final-exam-solutions-for-python-programming-62oop21-q20|final-exam-study-guide-trial-python-basics-2023-q12|introduction-to-python-trial-final-exam-solutions-py22-q12|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q06|resit-solutions-for-introduction-to-python-35761538-q06|trial-final-exam-solutions-introduction-to-python-3077951-q23
map_element_only_vs_apply_row	Map Element Only Vs Apply Row	`map` works element-wise on a Series; row-wise logic across multiple columns usually needs `apply(axis=1)` or vectorized code.	7	4	1	0	very-common	final-exam-solutions-for-python-programming-62oop21-q05|final-exam-study-guide-trial-python-basics-2023-q19|final-exam-study-guide-trial-python-basics-2023-q20|introduction-to-python-trial-final-exam-solutions-py22-q19|introduction-to-python-trial-final-exam-solutions-py22-q20|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q24|resit-solutions-for-introduction-to-python-35761538-q24
map_expression_not_function	Map Expression Not Function	`map`/`apply` need a function or callable, not a value that was already computed.	7	4	1	0	very-common	final-exam-solutions-for-python-programming-62oop21-q05|final-exam-study-guide-trial-python-basics-2023-q19|final-exam-study-guide-trial-python-basics-2023-q20|introduction-to-python-trial-final-exam-solutions-py22-q19|introduction-to-python-trial-final-exam-solutions-py22-q20|resit-exam-guidelines-for-intro-to-python-6013b0470y-july-2023-q24|resit-solutions-for-introduction-to-python-35761538-q24
